company,known_outcome,actual_verdict,agentic_verdict,rag_verdict,agentic_verdict_match,rag_verdict_match,market_score_agentic,market_score_rag,competition_score_agentic,competition_score_rag,founder_score_agentic,founder_score_rag,traction_score_agentic,traction_score_rag,risk_score_agentic,risk_score_rag,total_agentic,total_rag,notes
Deel,Success,Invest,,,,,,,,,,,,,,,,,
Pipe,Success,Invest,,PASS,,,,,,,,,,,,,,,
Brex,Success,Invest,,WATCH,,,,,,,,,,,,,,,
Retool,Success,Invest,,,,,,,,,,,,,,,,,
Causal,Success,Watch,,,,,,,,,,,,,,,,,
Pry Financials,Success,Invest,,,,,,,,,,,,,,,,,
Teal,Success,Watch,,,,,,,,,,,,,,,,,
Midnite,Success,Watch,,,,,,,,,,,,,,,,,
Lago,Success,Invest,,,,,,,,,,,,,,,,,
Sweep,Success,Invest,,,,,,,,,,,,,,,,,
Stackup,Stalled,Pass,,,,,,,,,,,,,,,,,
Doola,Stalled,Pass,,,,,,,,,,,,,,,,,
Basedash,Stalled,Pass,,WATCH,,,,,,,,,,,,,,,
Sequin,Stalled,Watch,,,,,,,,,,,,,,,,,
Kana,Stalled,Pass,,PASS,,,,,,,,,,,,,,,
